date,district,market_name,commodity_name,variety,actual,prediction,error,pct_error
2025-05-15,Medinipur(W),Jhargram,Rice,Fine,4400,4394.482,5.51806640625,0.12541060014204544
2025-01-11,Medinipur(W),Jhargram,Rice,Fine,4200,4318.817,118.81689453125,2.8289736793154763
2025-05-31,Medinipur(W),Jhargram,Rice,Common,3800,3769.9895,30.010498046875,0.7897499486019737
2025-03-11,Medinipur(W),Jhargram,Rice,Common,3800,3793.1882,6.811767578125,0.17925704152960525
2025-04-27,Medinipur(W),Jhargram,Rice,Common,3800,3778.3818,21.6181640625,0.5688990542763158
2024-12-13,Medinipur(W),Jhargram,Rice,Super Fine,4800,4926.495,126.4951171875,2.63531494140625
2024-11-13,Medinipur(W),Jhargram,Rice,Fine,4400,4410.785,10.78515625,0.24511718749999997
2025-08-18,Medinipur(W),Jhargram,Rice,Common,3800,3785.8745,14.12548828125,0.3717233758223684
2024-07-15,Medinipur(W),Jhargram,Rice,Super Fine,5000,5049.956,49.9560546875,0.99912109375
2025-06-22,Medinipur(W),Jhargram,Rice,Fine,4400,4379.9683,20.03173828125,0.4552667791193182
2025-03-22,Medinipur(W),Jhargram,Rice,Common,3800,3773.6477,26.352294921875,0.6934814453125
2025-04-01,Medinipur(W),Jhargram,Rice,Super Fine,5000,4977.6963,22.3037109375,0.44607421875000003
2025-04-29,Medinipur(W),Jhargram,Rice,Common,3800,3772.7812,27.21875,0.7162828947368421
2024-08-27,Medinipur(W),Jhargram,Rice,Super Fine,5000,4994.4243,5.57568359375,0.111513671875
2025-04-22,Medinipur(W),Jhargram,Rice,Super Fine,5000,4978.9316,21.068359375,0.4213671875
2024-04-03,Medinipur(W),Jhargram,Rice,Fine,4400,4428.6,28.60009765625,0.6500022194602273
2025-06-16,Medinipur(W),Jhargram,Rice,Common,3800,3805.9966,5.99658203125,0.15780479029605263
2025-08-09,Medinipur(W),Jhargram,Rice,Common,3800,3838.7473,38.747314453125,1.019666169819079
2024-05-18,Medinipur(W),Jhargram,Rice,Common,3800,3803.6108,3.61083984375,0.09502210115131579
